REF_AREA_DESC,TIME_PERIOD,SEX_DESC,AGE_DESC,URBANIZATION_DESC,INCOME_WEALTH_QUANTILE_DESC,DIDN’T_PARTICIPATE_ACTIVITIES_DURING_PERIOD_VALUE,TIME_DETAIL
Democratic Republic of the Congo,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,14.0900001525879,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,12.039999961853,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,13.4899997711182,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,11.2600002288818,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,14.1000003814697,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,14.5799999237061,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,16.6499996185303,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,13.710000038147,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,14.7399997711182,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),15.1000003814697,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),12.4499998092651,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),15.5100002288818,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),15.1800003051758,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),13.9399995803833,2017-2019 (latest available)
Democratic Republic of the Congo,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,14.1999998092651,2017-2019 (latest available)
Costa Rica,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,7.48999977111816,2017-2019 (latest available)
Costa Rica,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,6.98999977111816,2017-2019 (latest available)
Costa Rica,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,7.25,2017-2019 (latest available)
Costa Rica,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,6.21000003814697,2017-2019 (latest available)
Costa Rica,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,5.46999979019165,2017-2019 (latest available)
Costa Rica,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,7,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,6.92000007629395,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,6.38000011444092,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,7.59999990463257,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),8.4399995803833,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),4.6100001335144,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),8.75,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),7.30000019073486,2017-2019 (latest available)
Costa Rica,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),4.82000017166138,2017-2019 (latest available)
