REF_AREA_DESC,TIME_PERIOD,SEX_DESC,AGE_DESC,URBANIZATION_DESC,INCOME_WEALTH_QUANTILE_DESC,WITH_A_PLACE TO_USE_MENSTRUAL_HYGIENE_MATERIAL_VALUE,TIME_DETAIL
Madagascar,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,85.5800018310547,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),85.4499969482422,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),87.6999969482422,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),83.9700012207031,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),85.5999984741211,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),86.6999969482422,2017-2019 (latest available)
Madagascar,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,86.1100006103516,2017-2019 (latest available)
Mongolia,2018,Female,45 to 49 years old,Total,Total (national average) or no breakdown,82.1100006103516,2017-2019 (latest available)
Mongolia,2018,Female,40 to 44 years old,Total,Total (national average) or no breakdown,81.3499984741211,2017-2019 (latest available)
Mongolia,2018,Female,35 to 39 years old,Total,Total (national average) or no breakdown,81.4599990844727,2017-2019 (latest available)
Mongolia,2018,Female,30 to 34 years old,Total,Total (national average) or no breakdown,80.7300033569336,2017-2019 (latest available)
Mongolia,2018,Female,25 to 29 years old,Total,Total (national average) or no breakdown,82.9800033569336,2017-2019 (latest available)
Mongolia,2018,Female,20 to 24 years old,Total,Total (national average) or no breakdown,85.2099990844727,2017-2019 (latest available)
Mongolia,2018,Female,15 to 19 years old,Total,Total (national average) or no breakdown,83.5500030517578,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Urban,Total (national average) or no breakdown,82.3300018310547,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Rural,Total (national average) or no breakdown,82.2300033569336,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 2 (second poorest),79.1399993896484,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 5 (richest),87.9300003051758,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 1 (poorest),81.5400009155273,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 3 (middle),77.3499984741211,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Quintile 4 (second richest),84.5100021362305,2017-2019 (latest available)
Mongolia,2018,Female,15 to 49 years old,Total,Total (national average) or no breakdown,82.3000030517578,2017-2019 (latest available)
